id,sentence,labels
342-9,This suggested that not only esterase and monooxygenase but also glutathione-S-transferase were associated with permethrin resistance in Ae. aegypti.,"[[29, 37, 'esterase', 'Gene'], [42, 55, 'monooxygenase', 'Gene'], [65, 90, 'glutathione-S-transferase', 'Gene'], [112, 122, 'permethrin', 'Pesticides'], [137, 148, 'Ae. aegypti', 'Species']]"
342-10,The exposing of permethrin-selected and deltamethrin-selected mosquitoes to diagnostic concentration of permethrin (0.75%) and deltamethrin (0.05%) indicated no cross resistance for permethrin to deltamethrin while slight cross resistance from deltamethrin to permethrin was evident.,"[[16, 26, 'permethrin', 'Pesticides'], [40, 52, 'deltamethrin', 'Pesticides'], [104, 114, 'permethrin', 'Pesticides'], [127, 139, 'deltamethrin', 'Pesticides'], [182, 192, 'permethrin', 'Pesticides'], [196, 208, 'deltamethrin', 'Pesticides'], [244, 256, 'deltamethrin', 'Pesticides'], [260, 270, 'permethrin', 'Pesticides']]"
342-11,It seemed that glutathione S-tranferase was not associated with cross resistance since its activity in deltamethrin-selected strain remained unchanged as compared with that of laboratory susceptible strain.,"[[15, 39, 'glutathione S-tranferase', 'Gene'], [103, 115, 'deltamethrin', 'Pesticides']]"
349-0,"BACKGROUND: Chemical control is a major strategy for suppressing the rice stem borer, Chilo suppressalis (Walker).","[[86, 104, 'Chilo suppressalis', 'Species']]"
349-1,"Owing to their high toxicity and increasing resistance development in the target insect, many insecticides will be phased out entirely in 2007 in China.","[[138, 142, '2007', 'Year'], [146, 151, 'China', 'Location']]"
349-3,"In this study, the authors examined four field populations of C. suppressalis for their toxicological responses to more than 20 insecticides, including a few low-toxicity organophosphates and many novel pesticides.","[[62, 77, 'C. suppressalis', 'Species'], [171, 187, 'organophosphates', 'Pesticides']]"
349-5,"RESULTS: Based on LD(50) values, the rice stem borer was most sensitive to avermectins and fipronil (LD(50) < 1 ng larva(-1)).","[[91, 99, 'fipronil', 'Pesticides'], [101, 124, 'LD(50) < 1 ng larva(-1)', 'LC/LD']]"
349-7,"Insect growth regulators and chitin synthase inhibitors showed great efficacy against C. suppressalis, especially against populations that had developed resistance to conventional insecticides.","[[86, 101, 'C. suppressalis', 'Species']]"
349-9,"LYG05 was the most susceptible population, only with a low level of resistance to monosultap (RR = 6.6).","[[82, 92, 'monosultap', 'Pesticides'], [94, 102, 'RR = 6.6', 'Resistance_factor_value']]"
367-0,The development of chemical control of Musca domestica on Danish farms 1945--72 is outlined.,"[[39, 54, 'Musca domestica', 'Species'], [58, 70, 'Danish farms', 'Location'], [71, 79, '1945--72', 'Year']]"
367-3,"Organophosphorus compounds (OPC) were widely used from 1953, first as strips impregnated with parathion and residual sprays with diazinon.","[[55, 59, '1953', 'Year'], [94, 103, 'parathion', 'Pesticides'], [129, 137, 'diazinon', 'Pesticides']]"
367-5,"Trichlorfon paint-on baits were widelyused 1958--64 and serious resistance did not appear until 1967, induced by selective pressure of fenthion and dimethoate used as residual sprays.","[[0, 11, 'Trichlorfon', 'Pesticides'], [43, 51, '1958--64', 'Year'], [96, 100, '1967', 'Year'], [135, 143, 'fenthion', 'Pesticides'], [148, 158, 'dimethoate', 'Pesticides']]"
367-6,High resistance to the contact effect of trichlorfon now occurs everywhere in Denmark.,"[[41, 52, 'trichlorfon', 'Pesticides'], [78, 85, 'Denmark', 'Location']]"
367-7,"However, trichlorfon baits are still able to kill many flies.","[[9, 20, 'trichlorfon', 'Pesticides']]"
367-9,Dimethoate was used on the majority of farms 1965--72.,"[[0, 10, 'Dimethoate', 'Pesticides'], [45, 53, '1965--72', 'Year']]"
367-10,"It was very effective the first years and resistance increased slowly until 1971--72, when high to extreme dimethoate-resistance became general on Danish farms.","[[76, 84, '1971--72', 'Year'], [107, 117, 'dimethoate', 'Pesticides'], [147, 153, 'Danish', 'Location']]"
367-11,"This was associated with high resistance to other OPC for fly control, e.g. fenthion, fenitrothion, bromophos, and tetrachlorvinphos, and to carbamates, with the result that no generally effective residual sprays were available.","[[76, 84, 'fenthion', 'Pesticides'], [86, 98, 'fenitrothion', 'Pesticides'], [100, 109, 'bromophos', 'Pesticides'], [115, 132, 'tetrachlorvinphos', 'Pesticides'], [141, 151, 'carbamates', 'Pesticides']]"
377-0,"BACKGROUND: Citrus red mite, Panonychus citri (McGregor), is one of the most important pesticide-resistant pests in China.","[[29, 45, 'Panonychus citri', 'Species'], [116, 121, 'China', 'Location']]"
377-1,"In order better to understand its resistance status, six populations of the mite were collected from Chinese citrus orchards for monitoring of resistance to spirodiclofen and another five acaricides.","[[157, 170, 'spirodiclofen', 'Pesticides']]"
377-2,RESULTS: All the samples collected in the field in 2006 were susceptible to spirodiclofen.,"[[51, 55, '2006', 'Year'], [76, 89, 'spirodiclofen', 'Pesticides']]"
377-3,"However, the LC(50) values in populations sampled in 2009 ranged from 3.29 to 418.24 mg L(-1) spirodiclofen, a 127-fold difference between the least and most sensitive populations.","[[53, 57, '2009', 'Year'], [70, 93, '3.29 to 418.24 mg L(-1)', 'LC/LD'], [94, 107, 'spirodiclofen', 'Pesticides'], [111, 119, '127-fold', 'Resistance_factor_value']]"
377-5,"The LC(50) values for abamectin, fenpropathrin, hexythiazox and pyridaben in the collected samples ranged from 0.041 to 3.52 mg L(-1), from 23.91 to 696.16 mg L(-1), from 13.94 to 334.19 mg L(-1) and from 48.90 to 609.91 mg L(-1) respectively.","[[22, 31, 'abamectin', 'Pesticides'], [33, 46, 'fenpropathrin', 'Pesticides'], [48, 59, 'hexythiazox', 'Pesticides'], [64, 73, 'pyridaben', 'Pesticides'], [111, 133, '0.041 to 3.52 mg L(-1)', 'LC/LD'], [140, 164, '23.91 to 696.16 mg L(-1)', 'LC/LD'], [171, 195, '13.94 to 334.19 mg L(-1)', 'LC/LD'], [205, 229, '48.90 to 609.91 mg L(-1)', 'LC/LD']]"
377-8,"The Jianning population was susceptible to most acaricides tested, except pyridaben.","[[74, 83, 'pyridaben', 'Pesticides']]"
388-0,"BACKGROUND: Phytophagous mites such as the European red mite, Panonychus ulmi (Koch), are serious pests in European fruit tree orchards, and a number of acaricides are frequently used to control them.","[[62, 77, 'Panonychus ulmi', 'Species'], [107, 115, 'European', 'Location'], [153, 163, 'acaricides', 'Pesticides']]"
388-1,Spirodiclofen (Envidor(®)) has been a commonly used acaricide for several years.,"[[0, 13, 'Spirodiclofen', 'Pesticides']]"
388-2,"In the present study, European field populations collected in 2009 and 2010 were checked for their susceptibility to spirodiclofen by using discriminating dose and full dose response bioassays.","[[62, 66, '2009', 'Year'], [71, 75, '2010', 'Year'], [117, 130, 'spirodiclofen', 'Pesticides']]"
388-3,"RESULTS: In 2009 and 2010, a total of 63 field populations (including winter eggs) of European red mites were collected in different European countries, and in several populations from south-western Germany a shifting in susceptibility against spirodiclofen was observed.","[[12, 16, '2009', 'Year'], [21, 25, '2010', 'Year'], [185, 206, 'south-western Germany', 'Location'], [244, 257, 'spirodiclofen', 'Pesticides']]"
388-5,Artificial selection with spirodiclofen of one of the field strains resulted in resistance ratios of > 7000.,"[[26, 39, 'spirodiclofen', 'Pesticides'], [101, 107, '> 7000', 'Resistance_factor_value']]"
388-6,Synergism studies suggest a possible role of cytochrome-P450-dependent monooxygenases in spirodiclofen detoxification.,"[[45, 85, 'cytochrome-P450-dependent monooxygenases', 'Gene'], [89, 102, 'spirodiclofen', 'Pesticides']]"
388-7,Most of the other acaricides from different chemical classes displayed no or low cross-resistance in a spirodiclofen-selected strain.,"[[103, 116, 'spirodiclofen', 'Pesticides']]"
388-8,"CONCLUSION: In order to preserve spirodiclofen as an important tool in spider mite resistance management, the efficacy situation should be continuously monitored, and it is suggested that spirodiclofen be alternated with acaricides coming from different mode-of-action classes.","[[33, 46, 'spirodiclofen', 'Pesticides'], [188, 201, 'spirodiclofen', 'Pesticides']]"
388-9,"An observed age-specific expression of resistance revealed full susceptibility of eggs, so targeting spirodiclofen particularly against eggs is likely to reduce the selection pressures imposed on other life stages.","[[101, 114, 'spirodiclofen', 'Pesticides']]"
392-0,"Rhipicephalus microplus, better known as the Asiatic cattle tick, is a largely invasive ectoparasite of great economic importance due to the negative effect it has on agricultural livestock on a global scale, particularly cattle.","[[0, 23, 'Rhipicephalus microplus', 'Species']]"
392-2,"In sub-Saharan Africa, cattle represent a major source of meat and milk, but this region of the world is severely affected by the Rhipicephalus microplus tick.","[[3, 21, 'sub-Saharan Africa', 'Location'], [130, 153, 'Rhipicephalus microplus', 'Species']]"
392-4,"However, the efficiency of chemical control is hindered by an increase in the frequency of mutant resistance alleles to amitraz in tick populations.","[[120, 127, 'amitraz', 'Pesticides']]"
392-5,"Presently, the only way to assess amitraz resistance is by means of larval packet tests, but this technique is time-consuming and not particularly cost effective.","[[34, 41, 'amitraz', 'Pesticides']]"
392-7,"First, we attempted to correlate two known SNPs in the octopamine/tyramine (OCT/Tyr) receptor with amitraz resistance in South African field samples of R. microplus.","[[55, 84, 'octopamine/tyramine (OCT/Tyr)', 'Gene'], [99, 106, 'amitraz', 'Pesticides'], [121, 134, 'South African', 'Location'], [152, 164, 'R. microplus', 'Species']]"
392-10,"Our results confirmed that the two SNPs are associated with amitraz resistance in the South African tick strain, and that they are in gametic disequilibrium.","[[60, 67, 'amitraz', 'Pesticides'], [86, 99, 'South African', 'Location']]"
392-13,"Therefore, we present a quick and affordable RFLP based diagnostic technique to assess amitraz resistance in field samples of R. microplus.","[[87, 94, 'amitraz', 'Pesticides'], [126, 138, 'R. microplus', 'Species']]"
399-0,"OBJECTIVE: To diagnose susceptibility levels and insecticide resistance mechanisms in Anopheles albimanus from the southern Yucatan Peninsula (YP), Mexico.","[[86, 105, 'Anopheles albimanus', 'Species'], [115, 154, 'southern Yucatan Peninsula (YP), Mexico', 'Location']]"
399-1,"MATERIAL AND METHODS: F1 generation of An. albimanus females, collected from November to December 2005 in six villages in the Othon P. Blanco municipality in Quintana Roo and the Calakmul municipality in Campeche, were exposed to deltamethrin, DDT, pirimiphos-methyl and bendiocarb in susceptibility tests, as well as to biochemical assays in order to calculate the enzyme levels related to insecticide resistance.","[[39, 52, 'An. albimanus', 'Species'], [98, 102, '2005', 'Year'], [132, 141, 'P. Blanco', 'Species'], [158, 170, 'Quintana Roo', 'Location'], [179, 187, 'Calakmul', 'Location'], [204, 212, 'Campeche', 'Location'], [230, 242, 'deltamethrin', 'Pesticides'], [244, 247, 'DDT', 'Pesticides'], [249, 266, 'pirimiphos-methyl', 'Pesticides'], [271, 281, 'bendiocarb', 'Pesticides']]"
399-4,The frequency of An. albimanus with altered acetylcholinesterase (AChE) was high in La Union (33%).,"[[17, 30, 'An. albimanus', 'Species'], [44, 71, 'acetylcholinesterase (AChE)', 'Gene'], [84, 92, 'La Union', 'Location']]"
399-5,"CONCLUSIONS: The An. albimanus populations collected in the south of the YP are resistant to DDT and deltamethrin, whereas resistance to pirimiphos-methyl was significant only in those collected from La Union.","[[17, 30, 'An. albimanus', 'Species'], [93, 96, 'DDT', 'Pesticides'], [101, 113, 'deltamethrin', 'Pesticides'], [137, 154, 'pirimiphos-methyl', 'Pesticides'], [200, 208, 'La Union', 'Location']]"
399-6,"The mechanisms explaining this resistance are based on high concentrations of GST, cytochrome P450 and esterasas, the former being responsible for DDT metabolism and the others for pyrethroid metabolism.","[[78, 81, 'GST', 'Gene'], [83, 98, 'cytochrome P450', 'Gene'], [103, 112, 'esterasas', 'Gene'], [147, 150, 'DDT', 'Pesticides'], [181, 191, 'pyrethroid', 'Pesticides']]"
399-7,The altered AChE was the mechanism correlated to pirimiphos-methyl resistance in La Union.,"[[12, 16, 'AChE', 'Gene'], [49, 66, 'pirimiphos-methyl', 'Pesticides'], [81, 89, 'La Union', 'Location']]"
399-8,The results of the present study have important practical consequences for the chemical control of An. albimanus in the south of the YP.,"[[99, 112, 'An. albimanus', 'Species'], [120, 135, 'south of the YP', 'Location']]"
403-0,"The generalist predator Chrysoperla externa (Neuroptera: Chrysopidae) is distributed in the Neotropical Region and presents a strong potential as a biological control agent due to its easily rearing, high voracity and tolerance to several pesticides.","[[24, 43, 'Chrysoperla externa', 'Species']]"
403-4,The objective of this work was to evaluate the tolerance of C. externo to the pyrethroid cypermethrin by topical exposure in laboratory conditions.,"[[60, 70, 'C. externo', 'Species'], [78, 101, 'pyrethroid cypermethrin', 'Pesticides']]"
430-1,"In this study, a resistant colony of T. cinnabarinus, PRR34 (37.78-fold resistant ratio), was established after 34 generations of propargite selection, and cross-resistance patterns of 7 other acaricides were determined in comparison with a susceptible strain (SS).","[[37, 52, 'T. cinnabarinus', 'Species'], [61, 71, '37.78-fold', 'Resistance_factor_value'], [130, 140, 'propargite', 'Pesticides']]"
430-2,"The contribution of detoxification enzymes to propargite tolerance were investigated using biological, biochemical and molecular approaches.","[[46, 56, 'propargite', 'Pesticides']]"
430-3,"Enzyme inhibitor synergist tests suggested glutathione S-transferases (GST) involvement in propargite-resistance of PRR34, and GST activity against 1-chloro-2,4-dinitrobenzene (CDNB) was correlated with the development of resistance.","[[43, 75, 'glutathione S-transferases (GST)', 'Gene'], [91, 101, 'propargite', 'Pesticides'], [127, 130, 'GST', 'Gene'], [148, 182, '1-chloro-2,4-dinitrobenzene (CDNB)', 'Pesticides']]"
430-5,"Quantitative RT-PCR revealed that the expression level of GSTs in PPR34 strain increased in larvae, nymphs and adults, while decreased in eggs compared with that of SS.","[[0, 19, 'Quantitative RT-PCR', 'Research_level'], [58, 62, 'GSTs', 'Gene']]"
430-6,"Collectively, these results support a role of GSTs in mediating resistance to propargite in the PRR34 strain.","[[46, 50, 'GSTs', 'Gene'], [78, 88, 'propargite', 'Pesticides']]"
430-7,"TcGSTd1,TcGSTd2 and TcGSTm2 genes might play significant roles in propargite resistance of CSM, especially at adult stage.","[[0, 7, 'TcGSTd1', 'Gene'], [8, 15, 'TcGSTd2', 'Gene'], [20, 27, 'TcGSTm2', 'Gene'], [66, 76, 'propargite', 'Pesticides']]"
430-8,This is the first attempt to define specific genes involved in GST mediated propargite resistance of T. cinnabarinus at the transcriptional level.,"[[63, 66, 'GST', 'Gene'], [76, 86, 'propargite', 'Pesticides'], [101, 116, 'T. cinnabarinus', 'Species'], [124, 145, 'transcriptional level', 'Research_level']]"
435-1,"We investigated the resistance of the predatory mite P. macropilis to the acaricides abamectin and dimethoate, and we examined the fitness costs associated with resistance.","[[53, 66, 'P. macropilis', 'Species'], [85, 94, 'abamectin', 'Pesticides'], [99, 109, 'dimethoate', 'Pesticides']]"
435-3,"After the application of acaricides to the predator, we determined the lethal effects of the acaricides, the instantaneous rate of population increase (r(i)), the predation on Tetranychus urticae Koch (Acari: Tetranychidae) and its ability to locate prey in an olfactometer.","[[176, 195, 'Tetranychus urticae', 'Species']]"
435-4,P. macropilis exhibited resistance to dimethoate only.,"[[0, 13, 'P. macropilis', 'Species'], [38, 48, 'dimethoate', 'Pesticides']]"
435-5,The low level of resistance (9.4x) of the predator did not affect their ability to locate prey.,[]
451-0,"BACKGROUND, AIMS, AND SCOPE: Since toxaphene (polychlorocamphene, polychloropinene, or strobane) mixtures were applied for massive insecticide use in the 1960s to replace the use of DDT, some of their congeners have been found at high latitudes far away from the usage areas.","[[35, 96, 'toxaphene (polychlorocamphene, polychloropinene, or strobane)', 'Pesticides'], [154, 159, '1960s', 'Year'], [182, 185, 'DDT', 'Pesticides']]"
451-6,"Polychlorobornanes analyzed in biota of the Barents Sea offered one case to study this modeling alternative, while toxaphene has been and partly still is used massively at southern East Europe and around rivers flowing to the Aral Sea.","[[115, 124, 'toxaphene', 'Pesticides'], [172, 192, 'southern East Europe', 'Location'], [222, 234, 'the Aral Sea', 'Location']]"
451-7,"MATERIALS AND METHODS: Pure model substances of three polychlorobornanes (toxaphene congeners P26, P50, and P62) were synthesized, their environmentally important thermal properties measured by differential scanning calorimetry, as evaluated from literature data, and their temperature dependences estimated by the QSPR programs VPLEST, WATSOLU, and TDLKOW.","[[74, 83, 'toxaphene', 'Pesticides']]"
451-8,"The evaluated property parameters were used to model their atmospheric long-range transport from toxaphene heavy usage areas in Ukraine and Aral/SyrDarja/AmuDarja region areas, through East Europe and Northern Norway (Finnmarken) to the Barents Sea.","[[97, 106, 'toxaphene', 'Pesticides'], [128, 135, 'Ukraine', 'Location'], [140, 175, 'Aral/SyrDarja/AmuDarja region areas', 'Location'], [201, 229, 'Northern Norway (Finnmarken)', 'Location'], [233, 248, 'the Barents Sea', 'Location']]"
451-11,Analysis of the three chlorobornanes in toxaphene mixtures function as a basis for the estimates of emission levels caused by its usage.,"[[22, 36, 'chlorobornanes', 'Pesticides'], [40, 49, 'toxaphene', 'Pesticides']]"
451-15,"The model results (ng g(-1) lw): 4-95 in lipid of planktovores and 7-150 in lipid of piscivores, were in fair agreement with the analysis results from August 1997: 21-31 in Themisto libellula (chatka), 26-42 in Boreocadus saida (Polar cod), and 5-27 in Gadus morhua (cod) liver.",[]
463-0,OBJECTIVES: To assess the level of insecticide susceptibility of a certain Aedes aegypti strain found in El Salvador and to explain the mechanisms for its resistance to temephos.,"[[75, 88, 'Aedes aegypti', 'Species'], [105, 116, 'El Salvador', 'Location'], [169, 177, 'temephos', 'Pesticides']]"
463-1,"METHODS: An A. aegypti strain from the municipality of Soyapango, Department of San Salvador, El Salvador, was studied.","[[12, 22, 'A. aegypti', 'Species'], [55, 105, 'Soyapango, Department of San Salvador, El Salvador', 'Location']]"
463-4,"The mechanism of temephos resistance was determined through the use of synergistic substances, biochemical assays for enzymatic activity, and polyacrylamide gel zymograms.","[[17, 25, 'temephos', 'Pesticides']]"
463-5,RESULTS: The larvae of the strain studied proved highly resistant to temephos (RF50 = 24.16).,"[[69, 77, 'temephos', 'Pesticides'], [79, 91, 'RF50 = 24.16', 'Resistance_factor_value']]"
463-6,"Of the enzyme samples analyzed, only the esterase A4 was linked to the mechanism of temephos resistance.","[[41, 52, 'esterase A4', 'Gene'], [84, 92, 'temephos', 'Pesticides']]"
463-7,The adult mosquitoes were susceptible to lambda-cyhalothrin and chlorpyrifos; and resistance to deltamethrin and cypermethrin fell into the category needing further verification.,"[[41, 59, 'lambda-cyhalothrin', 'Pesticides'], [64, 76, 'chlorpyrifos', 'Pesticides'], [96, 108, 'deltamethrin', 'Pesticides'], [113, 125, 'cypermethrin', 'Pesticides']]"
463-8,CONCLUSIONS: Temephos resistance could reduce the efficiency of chemical control of the A. aegypti mosquito in El Salvador study area.,"[[13, 21, 'Temephos', 'Pesticides'], [88, 98, 'A. aegypti', 'Species'], [111, 122, 'El Salvador', 'Location']]"
463-9,"Chlorpyrifos, lambda-cyhalothrin, and cypermethrin are good alternative insecticides for use in new efforts to control this vector.","[[0, 12, 'Chlorpyrifos', 'Pesticides'], [14, 32, 'lambda-cyhalothrin', 'Pesticides'], [38, 50, 'cypermethrin', 'Pesticides']]"
519-3,"The most important of these are the noctuid moths Helicoverpa armigera (Hübner), Chrysodeixis acuta (Walker), and Trichoplusia orichalcea (F.).","[[50, 70, 'Helicoverpa armigera', 'Species'], [81, 99, 'Chrysodeixis acuta', 'Species'], [114, 137, 'Trichoplusia orichalcea', 'Species']]"
519-8,"Although no differences in H. armigera or T. orichalcea catches were observed between insecticide- and trap-treated fields, numbers of C. acuta and the total number of moths were significantly higher in insecticide-treated fields.","[[27, 38, 'H. armigera', 'Species'], [42, 55, 'T. orichalcea', 'Species'], [135, 143, 'C. acuta', 'Species']]"
519-9,"Yellow traps containing dichlorvos contained more moths than yellow traps without dichlorvos, or green traps with dichlorvos, or green traps without dichlorvos; but they also contained more nonphytophagous insects.","[[24, 34, 'dichlorvos', 'Pesticides'], [82, 92, 'dichlorvos', 'Pesticides'], [114, 124, 'dichlorvos', 'Pesticides'], [149, 159, 'dichlorvos', 'Pesticides']]"
539-0,"BACKGROUND: Citrus red mite, Panonychus citri (McGregor), is a key pest of San Joaquin Valley California citrus.","[[29, 45, 'Panonychus citri', 'Species'], [75, 111, 'San Joaquin Valley California citrus', 'Location']]"
539-1,"Spirodiclofen was registered for mite control in 2007, and spirotetramat for scale control in 2008.","[[0, 13, 'Spirodiclofen', 'Pesticides'], [49, 53, '2007', 'Year'], [59, 72, 'spirotetramat', 'Pesticides'], [94, 97, '200', 'Year']]"
539-2,"Because of the potential for resistance to spirodiclofen to develop in spider mites, and cross-resistance to spirotetramat used for other citrus pests, bioassay methods for resistance monitoring were developed.","[[43, 56, 'spirodiclofen', 'Pesticides'], [109, 122, 'spirotetramat', 'Pesticides']]"
539-3,"RESULTS: The responses of four populations of adult female, egg and larval stages of P. citri to spirodiclofen were compared to determine the most robust bioassay method for this pesticide.","[[85, 93, 'P. citri', 'Species'], [97, 110, 'spirodiclofen', 'Pesticides']]"
539-6,Egg production and egg shape were significantly affected by spirodiclofen treatment of adult female mites.,"[[60, 73, 'spirodiclofen', 'Pesticides']]"
539-7,"Bioassays with the related compound spirotetramat revealed that P. citri egg hatch was less affected by this compound, requiring the assessment of mortality to be extended to 11 days after treatment when the hatched larvae succumbed to the pesticide.","[[36, 49, 'spirotetramat', 'Pesticides'], [64, 72, 'P. citri', 'Species']]"
539-9,CONCLUSION: These results provide a baseline for the response of P. citri to spirodiclofen and spirotetramat that will aid resistance management in California citrus.,"[[65, 73, 'P. citri', 'Species'], [77, 90, 'spirodiclofen', 'Pesticides'], [95, 108, 'spirotetramat', 'Pesticides'], [148, 158, 'California', 'Location']]"
560-0,Cyclodiene insecticide resistance in malaria vector mosquitoes of the Anopheles gambiae species complex (Diptera: Culicidae) has been reported previously from several parts of Africa.,"[[0, 22, 'Cyclodiene insecticide', 'Pesticides'], [70, 87, 'Anopheles gambiae', 'Species'], [176, 182, 'Africa', 'Location']]"
560-2,Dieldrin resistance levels were high in adult female mosquitoes (40-75% survived exposure to 4% dieldrin for 1 h) and was closely linked with chromosomal paracentric inversion 2La.,"[[0, 8, 'Dieldrin', 'Pesticides'], [96, 104, 'dieldrin', 'Pesticides']]"
560-4,This linkage also suggests that dieldrin resistance in Ian P20 is dominant.,"[[32, 40, 'dieldrin', 'Pesticides']]"
560-6,Most survivors after fipronil treatment also survived subsequent exposure to dieldrin (46/50=92%).,"[[21, 29, 'fipronil', 'Pesticides'], [77, 85, 'dieldrin', 'Pesticides']]"
560-7,This apparent cross-resistance between insecticides of two classes (cyclodiene and phenyl pyrazole) has implications for the management of insecticide resistance in wild populations of the An. gambiae complex.,"[[68, 78, 'cyclodiene', 'Pesticides'], [83, 98, 'phenyl pyrazole', 'Pesticides'], [189, 200, 'An. gambiae', 'Species']]"
572-0,The prag01 gene (GenBank accession no. EU073017) was cloned from Culex pipiens pallens.,"[[4, 10, 'prag01', 'Gene'], [65, 78, 'Culex pipiens', 'Species']]"
572-1,An open reading frame of 270 bp was found to encode a putative 89-amino-acid protein which has the highest homology with Culex quinquefasciatus and Anopheles funestus.,"[[121, 143, 'Culex quinquefasciatus', 'Species'], [148, 166, 'Anopheles funestus', 'Species']]"
572-2,Real-time quantitative PCR analysis demonstrated that the transcription level of prag01 gene in deltamethrin-resistant strain was 1.65-fold higher than in deltamethrin-susceptible strain of C. pipiens pallens.,"[[0, 26, 'Real-time quantitative PCR', 'Research_level'], [81, 87, 'prag01', 'Gene'], [96, 108, 'deltamethrin', 'Pesticides'], [130, 139, '1.65-fold', 'Resistance_factor_value'], [155, 167, 'deltamethrin', 'Pesticides'], [190, 200, 'C. pipiens', 'Species']]"
572-4,Our data for the first time approved that prag01 gene might play some role in the development of deltamethrin resistance in C. pipiens pallens.,"[[42, 48, 'prag01', 'Gene'], [97, 109, 'deltamethrin', 'Pesticides'], [124, 133, 'C. pipien', 'Species']]"
